Age,Income,CreditScore,LoanAmount,EmploymentYears,LoanApproved
25,45000,650,15000,2,1
32,60000,720,20000,5,1
40,80000,750,30000,10,1
28,35000,580,18000,1,0
45,90000,780,25000,15,1
23,28000,550,12000,1,0
36,70000,710,22000,8,1
50,100000,800,40000,20,1
29,40000,600,25000,3,0
31,55000,680,18000,4,1
42,65000,690,35000,12,1
27,30000,570,20000,2,0
38,75000,740,28000,9,1
48,85000,770,50000,18,1
26,32000,590,22000,1,0
35,58000,700,20000,7,1
44,62000,660,40000,14,0
30,50000,640,18000,5,1
39,72000,730,30000,11,1
24,27000,540,15000,1,0
41,95000,790,35000,13,1
33,48000,620,25000,6,0
37,68000,710,32000,8,1
52,110000,820,45000,25,1
28,36000,560,30000,2,0
34,53000,670,20000,6,1
46,88000,760,55000,16,1
22,25000,520,10000,0,0
43,78000,740,35000,14,1
31,46000,610,28000,4,0
